District code,State,District,Longitude,Latitude,Population,Households_with_Internet,sex_ratio,literacy_rate
34,Himachal Pradesh,Kinnaur,78.51613736263741,31.60667184065933,84121,354,82.0,72.0
26,Himachal Pradesh,Kullu,77.40922649350647,31.90911922077925,437903,2623,94.0,70.0
27,Himachal Pradesh,Mandi,76.96556930693067,31.635805940594054,999777,5333,101.0,72.0
33,Himachal Pradesh,Shimla,77.62573042168668,31.155725451807253,814010,9177,92.0,75.0
32,Himachal Pradesh,Sirmaur,77.43184689507493,30.682764453961443,529855,2220,92.0,68.0
31,Himachal Pradesh,Solan,76.94442140672783,31.03864311926604,580320,5250,88.0,74.0
29,Himachal Pradesh,Una,76.18353932038836,31.58330388349513,521173,2412,98.0,77.0
16,Jammu and Kashmir,Doda,76.07163720136518,33.359614675767915,409936,596,92.0,53.0
21,Jammu and Kashmir,Jammu,74.8477520361991,32.713199095022645,1529958,19905,88.0,74.0
4,Jammu and Kashmir,Kargil,76.63675315315312,33.565994894894914,140802,235,81.0,61.0
7,Jammu and Kashmir,Kathua,75.58901398601404,32.51781678321678,616435,1443,89.0,63.0
12,Jammu and Kashmir,Pulwama,75.00921860465118,33.88414418604652,560440,1537,91.0,52.0
5,Jammu and Kashmir,Punch,74.29593161290322,33.791241290322574,476835,346,89.0,55.0
10,Jammu and Kashmir,Srinagar,75.11021159420288,34.27312898550724,1236829,16413,90.0,61.0
19,Jammu and Kashmir,Udhampur,75.15286951219511,33.04770670731707,554985,1214,87.0,58.0
355,Jharkhand,Bokaro,85.98398374125864,23.6814965034965,2062330,9754,92.0,62.0
347,Jharkhand,Chatra,84.93295804701627,24.11619945750453,1042886,590,95.0,49.0
350,Jharkhand,Deoghar,86.75697632241814,24.33070100755672,1492073,1944,93.0,53.0
354,Jharkhand,Dhanbad,86.40372924901185,23.854509090909097,2684487,11568,91.0,64.0
362,Jharkhand,Dumka,87.27662450229711,24.275006125574265,1321442,1193,98.0,51.0
346,Jharkhand,Garhwa,83.68664265536722,24.082114689265527,1322784,565,94.0,49.0
349,Jharkhand,Giridih,86.08710915619386,24.30578509874329,2445474,1944,94.0,51.0
351,Jharkhand,Godda,87.2941735483871,24.8189,1313551,874,94.0,46.0
366,Jharkhand,Gumla,84.55056787479396,23.078532948929148,1025213,831,99.0,55.0
363,Jharkhand,Jamtara,86.95325080091534,23.97873318077801,791042,808,95.0,54.0
359,Jharkhand,Latehar,84.48298743362837,23.72511185840708,726978,340,97.0,48.0
356,Jharkhand,Lohardaga,84.6605169064748,23.488796043165483,461790,351,99.0,56.0
353,Jharkhand,Pakur,87.69691969178076,24.57260428082189,900422,328,99.0,39.0
358,Jharkhand,Palamu,84.20310842824594,24.196925968109337,1939869,2155,93.0,53.0
364,Jharkhand,Ranchi,85.31781937244203,23.184235061391547,2914253,22538,95.0,66.0
352,Jharkhand,Sahibganj,87.68264097938142,24.93667989690721,1150567,591,95.0,42.0
367,Jharkhand,Simdega,84.59193691931536,22.608760391198054,599578,423,100.0,57.0
556,Karnataka,Bagalkot,75.64526070853468,16.15860676328503,1889752,3745,99.0,59.0
583,Karnataka,Bangalore Rural,77.47369314775169,12.936827087794448,990923,3729,95.0,70.0
555,Karnataka,Belgaum,74.72329042357275,16.16107219152853,4779661,17560,97.0,64.0
565,Karnataka,Bellary,76.47228471074374,15.074377548209377,2452595,9626,98.0,58.0
558,Karnataka,Bidar,77.19459961538459,17.950361730769224,1703300,3971,96.0,61.0
417,Karnataka,Bijapur,75.95909166666665,16.84015316666667,255230,117,98.0,34.0
557,Karnataka,Bijapur,75.95909166666665,16.84015316666667,2177331,4987,96.0,57.0
570,Karnataka,Chikmagalur,75.67626502311249,13.425288289676422,1137961,4510,101.0,72.0
566,Karnataka,Chitradurga,76.57821957236843,14.29102220394736,1659456,5711,97.0,66.0
567,Karnataka,Davanagere,75.91723841166937,14.330414586709884,1945497,7320,97.0,67.0
562,Karnataka,Dharwad,75.13831264108359,15.343831376975173,1847023,15013,97.0,70.0
561,Karnataka,Gadag,75.64861302752298,15.507128256880746,1064570,3373,98.0,66.0
579,Karnataka,Gulbarga,76.87503850385033,17.070459515951594,2566326,9752,97.0,56.0
574,Karnataka,Hassan,76.11049549999997,12.945098749999998,1776421,4851,101.0,69.0
564,Karnataka,Haveri,75.3961230607966,14.737582809224318,1597668,2456,95.0,68.0
576,Karnataka,Kodagu,75.79336595744688,12.39684468085106,554519,3308,102.0,74.0
581,Karnataka,Kolar,78.01376947743476,13.312799881235172,1536401,5051,98.0,66.0
560,Karnataka,Koppal,76.1617048598131,15.651253271028034,1389920,2135,99.0,58.0
573,Karnataka,Mandya,76.81570098522172,12.574901806239744,1805769,3367,100.0,64.0
577,Karnataka,Mysore,76.52881802853437,12.248100259403367,3001127,28397,99.0,65.0
559,Karnataka,Raichur,76.87368606194688,16.050795353982295,1928812,5200,100.0,51.0
568,Karnataka,Shimoga,75.17882078103197,14.063845885634592,1752753,8791,100.0,72.0
571,Karnataka,Tumkur,77.02297966260545,13.592467760074973,2678980,7971,98.0,68.0
569,Karnataka,Udupi,74.72009990316337,13.450404228534568,1177361,9070,109.0,79.0
598,Kerala,Alappuzha,76.38010796263319,9.542602965599087,2127789,28842,110.0,87.0
595,Kerala,Ernakulam,76.26957729035381,10.004879301987431,3282388,88737,103.0,87.0
596,Kerala,Idukki,77.04586641566264,9.80480963855423,1108974,8250,101.0,83.0
589,Kerala,Kannur,75.35209891725934,11.941523076923056,2523003,32653,114.0,85.0
588,Kerala,Kasaragod,75.07768497134369,12.33310309912974,1307375,10378,108.0,79.0
600,Kerala,Kollam,76.6360775852431,8.929388820570157,2635375,31542,111.0,85.0
597,Kerala,Kottayam,76.46059673302705,9.643701174068417,1974551,37849,104.0,89.0
591,Kerala,Kozhikode,75.71158720159153,11.392924270557026,3086293,36791,110.0,85.0
592,Kerala,Malappuram,75.93910775606876,10.97329875666072,4112920,27909,110.0,81.0
593,Kerala,Palakkad,76.49980490693744,10.784926903553291,2809934,27162,107.0,80.0
601,Kerala,Thiruvananthapuram,76.88711502868073,8.537101759082221,3301427,71621,109.0,84.0
594,Kerala,Thrissur,76.12321940836945,10.458932647907687,3121200,56148,111.0,86.0
590,Kerala,Wayanad,76.07587007042254,11.715277464788736,817420,4712,103.0,79.0
461,Madhya Pradesh,Anuppur,81.86560000000007,23.18184220430107,749237,1290,98.0,58.0
459,Madhya Pradesh,Ashoknagar,77.82974493927134,24.63098846153845,845071,619,90.0,56.0
457,Madhya Pradesh,Balaghat,80.42170053380796,21.80020720640569,1701698,1712,102.0,67.0
441,Madhya Pradesh,Barwani,74.91004719710673,21.702135714285724,1385881,1158,98.0,40.0
447,Madhya Pradesh,Betul,77.7873428189117,21.964626315789477,1575362,2109,97.0,60.0
420,Madhya Pradesh,Bhind,78.7618324287653,26.35951126187245,1703005,1166,84.0,64.0
444,Madhya Pradesh,Bhopal,77.39246623093679,23.480726143790854,2371061,40788,92.0,70.0
467,Madhya Pradesh,Burhanpur,76.24460478589425,21.364567254408065,757847,986,95.0,54.0
425,Madhya Pradesh,Chhatarpur,79.56449299191374,24.813637376460004,1762375,1880,88.0,54.0
455,Madhya Pradesh,Chhindwara,78.76413136439254,22.227966971713823,2090922,3588,96.0,62.0
428,Madhya Pradesh,Damoh,79.47049303482588,23.76624407960196,1264219,1432,91.0,59.0
422,Madhya Pradesh,Datia,78.63916571428574,25.90226439560441,786754,616,87.0,62.0
437,Madhya Pradesh,Dewas,76.46088805970157,22.7851110021322,1563715,3518,94.0,59.0
438,Madhya Pradesh,Dhar,75.1105620736698,22.572681718963157,2185793,2388,96.0,49.0
453,Madhya Pradesh,Dindori,81.04332966714911,22.83738437047757,704524,554,100.0,54.0
458,Madhya Pradesh,Guna,77.2235895968791,24.49043927178156,1241519,2482,91.0,53.0
421,Madhya Pradesh,Gwalior,78.12782433035713,26.04074441964285,2032036,15779,86.0,67.0
448,Madhya Pradesh,Harda,77.07022571819435,22.227659781121783,570465,986,93.0,62.0
449,Madhya Pradesh,Hoshangabad,78.02168094841929,22.595268801996703,1241350,2871,91.0,65.0
439,Madhya Pradesh,Indore,75.9133801324502,22.680265752128648,3276697,48691,93.0,70.0
451,Madhya Pradesh,Jabalpur,79.98328754716981,23.18525572327043,2463289,20443,93.0,71.0
464,Madhya Pradesh,Jhabua,74.40921616766468,22.419578015397768,1025048,744,99.0,34.0
450,Madhya Pradesh,Katni,80.33819665871127,23.724416229116937,1292042,2179,95.0,61.0
454,Madhya Pradesh,Mandla,80.38600543633753,22.70348712446353,1054905,912,101.0,57.0
433,Madhya Pradesh,Mandsaur,75.43588667736759,24.19278764044944,1340411,2324,96.0,62.0
419,Madhya Pradesh,Morena,77.88447341389724,26.37313504531724,1965970,1781,84.0,60.0
432,Madhya Pradesh,Neemuch,75.06608186666664,24.70311893333336,826067,1945,95.0,62.0
426,Madhya Pradesh,Panna,80.21133001158752,24.451325840092657,1016520,653,91.0,54.0
446,Madhya Pradesh,Raisen,78.16305495923909,23.292518206521724,1331597,1141,90.0,62.0
442,Madhya Pradesh,Rajgarh,76.66431223922116,23.785499026425583,1545814,1611,96.0,52.0
434,Madhya Pradesh,Ratlam,75.14895782122909,23.503562290502792,1455069,3644,97.0,57.0
430,Madhya Pradesh,Rewa,81.57572465057183,24.861184625158856,2365106,3406,93.0,61.0
